,combination,count,hero1_id,hero2_id,hero1_name,hero2_name
2479,"[1, 86]",3,1,86,Anti-Mage,Rubick
991,"[1, 16]",1,1,16,Anti-Mage,Sand King
998,"[1, 79]",1,1,79,Anti-Mage,Shadow Demon
2183,"[1, 101]",3,1,101,Anti-Mage,Skywrath Mage
987,"[1, 29]",1,1,29,Anti-Mage,Tidehunter
1018,"[1, 98]",1,1,98,Anti-Mage,Timbersaw
2478,"[1, 85]",3,1,85,Anti-Mage,Undying
997,"[1, 70]",1,1,70,Anti-Mage,Ursa
2012,"[1, 47]",2,1,47,Anti-Mage,Viper
2017,"[1, 37]",2,1,37,Anti-Mage,Warlock
990,"[1, 21]",1,1,21,Anti-Mage,Windranger
985,"[1, 30]",1,1,30,Anti-Mage,Witch Doctor
989,"[1, 22]",1,1,22,Anti-Mage,Zeus
882,"[113, 119]",1,113,119,Arc Warden,Dark Willow
1799,"[113, 114]",2,113,114,Arc Warden,Monkey King
1803,"[2, 68]",2,2,68,Axe,Ancient Apparition
2285,"[2, 3]",3,2,3,Axe,Bane
1927,"[2, 4]",2,2,4,Axe,Bloodseeker
1800,"[2, 62]",2,2,62,Axe,Bounty Hunter
226,"[2, 99]",1,2,99,Axe,Bristleback
201,"[2, 61]",1,2,61,Axe,Broodmother
2842,"[2, 81]",4,2,81,Axe,Chaos Knight
3323,"[2, 66]",5,2,66,Axe,Chen
230,"[2, 51]",1,2,51,Axe,Clockwerk
1947,"[2, 119]",2,2,119,Axe,Dark Willow
231,"[2, 50]",1,2,50,Axe,Dazzle
3510,"[2, 43]",6,2,43,Axe,Death Prophet
3457,"[2, 87]",6,2,87,Axe,Disruptor
3817,"[2, 49]",9,2,49,Axe,Dragon Knight
1938,"[2, 107]",2,2,107,Axe,Earth Spirit
2783,"[2, 103]",4,2,103,Axe,Elder Titan
3102,"[2, 106]",5,2,106,Axe,Ember Spirit
3303,"[2, 41]",5,2,41,Axe,Faceless Void
3814,"[2, 72]",9,2,72,Axe,Gyrocopter
203,"[2, 59]",1,2,59,Axe,Huskar
2845,"[2, 74]",4,2,74,Axe,Invoker
2841,"[2, 91]",4,2,91,Axe,Io
2342,"[2, 64]",3,2,64,Axe,Jakiro
1792,"[2, 8]",2,2,8,Axe,Juggernaut
229,"[2, 90]",1,2,90,Axe,Keeper of the Light
3313,"[2, 23]",5,2,23,Axe,Kunkka
233,"[2, 104]",1,2,104,Axe,Legion Commander
2748,"[2, 52]",4,2,52,Axe,Leshrac
2744,"[2, 54]",4,2,54,Axe,Lifestealer
3703,"[2, 25]",8,2,25,Axe,Lina
276,"[2, 26]",1,2,26,Axe,Lion
193,"[2, 80]",1,2,80,Axe,Lone Druid
1926,"[2, 48]",2,2,48,Axe,Luna
3459,"[2, 77]",6,2,77,Axe,Lycan
1781,"[2, 94]",2,2,94,Axe,Medusa
1782,"[2, 9]",2,2,9,Axe,Mirana
2279,"[2, 114]",3,2,114,Axe,Monkey King
2761,"[2, 10]",4,2,10,Axe,Morphling
3659,"[2, 89]",7,2,89,Axe,Naga Siren
2745,"[2, 53]",4,2,53,Axe,Nature's Prophet
2338,"[2, 60]",3,2,60,Axe,Night Stalker
206,"[2, 88]",1,2,88,Axe,Nyx Assassin
2848,"[2, 84]",4,2,84,Axe,Ogre Magi
204,"[2, 57]",1,2,57,Axe,Omniknight
255,"[2, 111]",1,2,111,Axe,Oracle
196,"[2, 76]",1,2,76,Axe,Outworld Devourer
1950,"[2, 120]",2,2,120,Axe,Pangolier
3651,"[2, 12]",7,2,12,Axe,Phantom Lancer
1941,"[2, 110]",2,2,110,Axe,Phoenix
273,"[2, 13]",1,2,13,Axe,Puck
1921,"[2, 45]",2,2,45,Axe,Pugna
264,"[2, 39]",1,2,39,Axe,Queen of Pain
1951,"[2, 15]",2,2,15,Axe,Razor
3236,"[2, 86]",5,2,86,Axe,Rubick
2283,"[2, 16]",3,2,16,Axe,Sand King
3458,"[2, 79]",6,2,79,Axe,Shadow Demon
197,"[2, 75]",1,2,75,Axe,Silencer
4184,"[2, 101]",25,2,101,Axe,Skywrath Mage
3699,"[2, 93]",8,2,93,Axe,Slark
1805,"[2, 71]",2,2,71,Axe,Spirit Breaker
1930,"[2, 17]",2,2,17,Axe,Storm Spirit
3514,"[2, 46]",6,2,46,Axe,Templar Assassin
1940,"[2, 109]",2,2,109,Axe,Terrorblade
191,"[2, 83]",1,2,83,Axe,Treant Protector
2794,"[2, 100]",4,2,100,Axe,Tusk
3235,"[2, 85]",5,2,85,Axe,Undying
271,"[2, 20]",1,2,20,Axe,Vengeful Spirit
1915,"[2, 40]",2,2,40,Axe,Venomancer
2754,"[2, 47]",4,2,47,Axe,Viper
2345,"[2, 92]",3,2,92,Axe,Visage
3822,"[2, 37]",9,2,37,Axe,Warlock
4022,"[2, 21]",12,2,21,Axe,Windranger
1945,"[2, 112]",2,2,112,Axe,Winter Wyvern
3823,"[2, 30]",9,2,30,Axe,Witch Doctor
261,"[2, 42]",1,2,42,Axe,Wraith King
1912,"[2, 22]",2,2,22,Axe,Zeus
2081,"[3, 102]",2,3,102,Bane,Abaddon
2948,"[3, 73]",4,3,73,Bane,Alchemist
733,"[3, 113]",1,3,113,Bane,Arc Warden
3692,"[3, 65]",8,3,65,Bane,Batrider
4074,"[3, 38]",13,3,38,Bane,Beastmaster
4097,"[3, 4]",14,3,4,Bane,Bloodseeker
3080,"[3, 62]",5,3,62,Bane,Bounty Hunter
3400,"[3, 78]",6,3,78,Bane,Brewmaster
2611,"[3, 61]",3,3,61,Bane,Broodmother
2404,"[3, 96]",3,3,96,Bane,Centaur Warrunner
3406,"[3, 66]",6,3,66,Bane,Chen
3068,"[3, 56]",5,3,56,Bane,Clinkz
4171,"[3, 51]",21,3,51,Bane,Clockwerk
3794,"[3, 55]",8,3,55,Bane,Dark Seer
3675,"[3, 119]",7,3,119,Bane,Dark Willow
4164,"[3, 43]",20,3,43,Bane,Death Prophet
686,"[3, 87]",1,3,87,Bane,Disruptor
4139,"[3, 69]",16,3,69,Bane,Doom
4168,"[3, 49]",21,3,49,Bane,Dragon Knight
3561,"[3, 6]",7,3,6,Bane,Drow Ranger
2870,"[3, 107]",4,3,107,Bane,Earth Spirit
3058,"[3, 7]",5,3,7,Bane,Earthshaker
4163,"[3, 103]",20,3,103,Bane,Elder Titan
4004,"[3, 106]",11,3,106,Bane,Ember Spirit
2618,"[3, 58]",3,3,58,Bane,Enchantress
1948,"[3, 33]",2,3,33,Bane,Enigma
3789,"[3, 41]",8,3,41,Bane,Faceless Void
4179,"[3, 72]",24,3,72,Bane,Gyrocopter
2891,"[3, 59]",4,3,59,Bane,Huskar
692,"[3, 74]",1,3,74,Bane,Invoker
3936,"[3, 91]",10,3,91,Bane,Io
3066,"[3, 8]",5,3,8,Bane,Juggernaut
682,"[3, 90]",1,3,90,Bane,Keeper of the Light
4155,"[3, 23]",18,3,23,Bane,Kunkka
3196,"[3, 104]",5,3,104,Bane,Legion Commander
4073,"[3, 52]",13,3,52,Bane,Leshrac
3977,"[3, 54]",11,3,54,Bane,Lifestealer
3967,"[3, 25]",11,3,25,Bane,Lina
697,"[3, 26]",1,3,26,Bane,Lion
688,"[3, 80]",1,3,80,Bane,Lone Druid
4065,"[3, 48]",13,3,48,Bane,Luna
3803,"[3, 77]",9,3,77,Bane,Lycan
2403,"[3, 97]",3,3,97,Bane,Magnus
3002,"[3, 94]",4,3,94,Bane,Medusa
687,"[3, 82]",1,3,82,Bane,Meepo
4173,"[3, 9]",22,3,9,Bane,Mirana
2888,"[3, 114]",4,3,114,Bane,Monkey King
3742,"[3, 10]",8,3,10,Bane,Morphling
3005,"[3, 89]",4,3,89,Bane,Naga Siren
1821,"[3, 53]",2,3,53,Bane,Nature's Prophet
2538,"[3, 36]",3,3,36,Bane,Necrophos
3731,"[3, 60]",8,3,60,Bane,Night Stalker
3716,"[3, 88]",8,3,88,Bane,Nyx Assassin
4063,"[3, 57]",13,3,57,Bane,Omniknight
3559,"[3, 76]",7,3,76,Bane,Outworld Devourer
3955,"[3, 120]",11,3,120,Bane,Pangolier
662,"[3, 44]",1,3,44,Bane,Phantom Assassin
4057,"[3, 12]",13,3,12,Bane,Phantom Lancer
2586,"[3, 110]",3,3,110,Bane,Phoenix
3876,"[3, 13]",9,3,13,Bane,Puck
726,"[3, 14]",1,3,14,Bane,Pudge
3787,"[3, 45]",8,3,45,Bane,Pugna
2544,"[3, 39]",3,3,39,Bane,Queen of Pain
3878,"[3, 15]",9,3,15,Bane,Razor
3717,"[3, 86]",8,3,86,Bane,Rubick
4178,"[3, 16]",24,3,16,Bane,Sand King
3674,"[3, 11]",7,3,11,Bane,Shadow Fiend
3194,"[3, 101]",5,3,101,Bane,Skywrath Mage
3175,"[3, 28]",5,3,28,Bane,Slardar
3003,"[3, 93]",4,3,93,Bane,Slark
669,"[3, 35]",1,3,35,Bane,Sniper
3569,"[3, 67]",7,3,67,Bane,Spectre
694,"[3, 71]",1,3,71,Bane,Spirit Breaker
3925,"[3, 17]",10,3,17,Bane,Storm Spirit
723,"[3, 18]",1,3,18,Bane,Sven
3385,"[3, 46]",6,3,46,Bane,Templar Assassin
3414,"[3, 109]",6,3,109,Bane,Terrorblade
1929,"[3, 29]",2,3,29,Bane,Tidehunter
1936,"[3, 98]",2,3,98,Bane,Timbersaw
2536,"[3, 34]",3,3,34,Bane,Tinker
4149,"[3, 19]",17,3,19,Bane,Tiny
3877,"[3, 95]",9,3,95,Bane,Troll Warlord
3932,"[3, 100]",10,3,100,Bane,Tusk
4125,"[3, 108]",16,3,108,Bane,Underlord
2410,"[3, 85]",3,3,85,Bane,Undying
3408,"[3, 70]",6,3,70,Bane,Ursa
2585,"[3, 20]",3,3,20,Bane,Vengeful Spirit
3183,"[3, 40]",5,3,40,Bane,Venomancer
2553,"[3, 47]",3,3,47,Bane,Viper
3004,"[3, 92]",4,3,92,Bane,Visage
2947,"[3, 63]",4,3,63,Bane,Weaver
4019,"[3, 21]",12,3,21,Bane,Windranger
2877,"[3, 112]",4,3,112,Bane,Winter Wyvern
672,"[3, 30]",1,3,30,Bane,Witch Doctor
664,"[3, 42]",1,3,42,Bane,Wraith King
2593,"[3, 22]",3,3,22,Bane,Zeus
891,"[65, 73]",1,65,73,Batrider,Alchemist
2302,"[65, 68]",3,65,68,Batrider,Ancient Apparition
1398,"[65, 113]",2,65,113,Batrider,Arc Warden
370,"[65, 66]",1,65,66,Batrider,Chen
2303,"[65, 119]",3,65,119,Batrider,Dark Willow
2770,"[65, 87]",4,65,87,Batrider,Disruptor
2769,"[65, 107]",4,65,107,Batrider,Earth Spirit
1401,"[65, 103]",2,65,103,Batrider,Elder Titan
3490,"[65, 106]",6,65,106,Batrider,Ember Spirit
3582,"[65, 72]",7,65,72,Batrider,Gyrocopter
1423,"[65, 91]",2,65,91,Batrider,Io
1399,"[65, 80]",2,65,80,Batrider,Lone Druid
2299,"[65, 77]",3,65,77,Batrider,Lycan
1257,"[65, 94]",1,65,94,Batrider,Medusa
1249,"[65, 82]",1,65,82,Batrider,Meepo
2304,"[65, 114]",3,65,114,Batrider,Monkey King
3930,"[65, 89]",10,65,89,Batrider,Naga Siren
2767,"[65, 88]",4,65,88,Batrider,Nyx Assassin
1252,"[65, 84]",1,65,84,Batrider,Ogre Magi
2300,"[65, 76]",3,65,76,Batrider,Outworld Devourer
2771,"[65, 110]",4,65,110,Batrider,Phoenix
2298,"[65, 86]",3,65,86,Batrider,Rubick
1247,"[65, 79]",1,65,79,Batrider,Shadow Demon
2301,"[65, 75]",3,65,75,Batrider,Silencer
1402,"[65, 101]",2,65,101,Batrider,Skywrath Mage
1395,"[65, 67]",2,65,67,Batrider,Spectre
3118,"[65, 109]",5,65,109,Batrider,Terrorblade
1258,"[65, 98]",1,65,98,Batrider,Timbersaw
1404,"[65, 83]",2,65,83,Batrider,Treant Protector
3074,"[65, 95]",5,65,95,Batrider,Troll Warlord
3120,"[65, 100]",5,65,100,Batrider,Tusk
2774,"[65, 85]",4,65,85,Batrider,Undying
742,"[65, 70]",1,65,70,Batrider,Ursa
2766,"[65, 92]",4,65,92,Batrider,Visage
2305,"[65, 112]",3,65,112,Batrider,Winter Wyvern
554,"[38, 73]",1,38,73,Beastmaster,Alchemist
2526,"[38, 68]",3,38,68,Beastmaster,Ancient Apparition
2977,"[38, 113]",4,38,113,Beastmaster,Arc Warden
1387,"[38, 65]",2,38,65,Beastmaster,Batrider
2522,"[38, 62]",3,38,62,Beastmaster,Bounty Hunter
2521,"[38, 61]",3,38,61,Beastmaster,Broodmother
4045,"[38, 66]",12,38,66,Beastmaster,Chen
546,"[38, 56]",1,38,56,Beastmaster,Clinkz
3870,"[38, 51]",9,38,51,Beastmaster,Clockwerk
540,"[38, 119]",1,38,119,Beastmaster,Dark Willow
542,"[38, 50]",1,38,50,Beastmaster,Dazzle
4014,"[38, 43]",12,38,43,Beastmaster,Death Prophet
4108,"[38, 87]",15,38,87,Beastmaster,Disruptor
4059,"[38, 49]",13,38,49,Beastmaster,Dragon Knight
2969,"[38, 107]",4,38,107,Beastmaster,Earth Spirit
4145,"[38, 103]",17,38,103,Beastmaster,Elder Titan
4141,"[38, 106]",16,38,106,Beastmaster,Ember Spirit
3750,"[38, 41]",8,38,41,Beastmaster,Faceless Void
4018,"[38, 72]",12,38,72,Beastmaster,Gyrocopter
2520,"[38, 59]",3,38,59,Beastmaster,Huskar
3530,"[38, 74]",7,38,74,Beastmaster,Invoker
3600,"[38, 91]",7,38,91,Beastmaster,Io
4134,"[38, 64]",16,38,64,Beastmaster,Jakiro
516,"[38, 90]",1,38,90,Beastmaster,Keeper of the Light
4181,"[38, 52]",25,38,52,Beastmaster,Leshrac
4044,"[38, 54]",12,38,54,Beastmaster,Lifestealer
2530,"[38, 80]",3,38,80,Beastmaster,Lone Druid
4122,"[38, 48]",16,38,48,Beastmaster,Luna
1426,"[38, 77]",2,38,77,Beastmaster,Lycan
2958,"[38, 94]",4,38,94,Beastmaster,Medusa
3279,"[38, 114]",5,38,114,Beastmaster,Monkey King
3898,"[38, 89]",10,38,89,Beastmaster,Naga Siren
2519,"[38, 53]",3,38,53,Beastmaster,Nature's Prophet
1384,"[38, 60]",2,38,60,Beastmaster,Night Stalker
2955,"[38, 88]",4,38,88,Beastmaster,Nyx Assassin
512,"[38, 84]",1,38,84,Beastmaster,Ogre Magi
3911,"[38, 111]",10,38,111,Beastmaster,Oracle
3554,"[38, 76]",7,38,76,Beastmaster,Outworld Devourer
541,"[38, 120]",1,38,120,Beastmaster,Pangolier
1380,"[38, 44]",2,38,44,Beastmaster,Phantom Assassin
2488,"[38, 110]",3,38,110,Beastmaster,Phoenix
3253,"[38, 45]",5,38,45,Beastmaster,Pugna
3544,"[38, 39]",7,38,39,Beastmaster,Queen of Pain
3875,"[38, 86]",9,38,86,Beastmaster,Rubick
531,"[38, 79]",1,38,79,Beastmaster,Shadow Demon
534,"[38, 75]",1,38,75,Beastmaster,Silencer
4186,"[38, 101]",26,38,101,Beastmaster,Skywrath Mage
4015,"[38, 93]",12,38,93,Beastmaster,Slark
551,"[38, 67]",1,38,67,Beastmaster,Spectre
553,"[38, 71]",1,38,71,Beastmaster,Spirit Breaker
3552,"[38, 46]",7,38,46,Beastmaster,Templar Assassin
1378,"[38, 109]",2,38,109,Beastmaster,Terrorblade
1462,"[38, 98]",2,38,98,Beastmaster,Timbersaw
2511,"[38, 83]",3,38,83,Beastmaster,Treant Protector
3839,"[38, 95]",9,38,95,Beastmaster,Troll Warlord
4081,"[38, 100]",14,38,100,Beastmaster,Tusk
3593,"[38, 85]",7,38,85,Beastmaster,Undying
2957,"[38, 40]",4,38,40,Beastmaster,Venomancer
2517,"[38, 47]",3,38,47,Beastmaster,Viper
3439,"[38, 92]",6,38,92,Beastmaster,Visage
547,"[38, 63]",1,38,63,Beastmaster,Weaver
2489,"[38, 112]",3,38,112,Beastmaster,Winter Wyvern
2950,"[38, 42]",4,38,42,Beastmaster,Wraith King
376,"[4, 102]",1,4,102,Bloodseeker,Abaddon
455,"[4, 73]",1,4,73,Bloodseeker,Alchemist
454,"[4, 68]",1,4,68,Bloodseeker,Ancient Apparition
1443,"[4, 113]",2,4,113,Bloodseeker,Arc Warden
452,"[4, 65]",1,4,65,Bloodseeker,Batrider
3984,"[4, 38]",11,4,38,Bloodseeker,Beastmaster
450,"[4, 62]",1,4,62,Bloodseeker,Bounty Hunter
3415,"[4, 78]",6,4,78,Bloodseeker,Brewmaster
2368,"[4, 99]",3,4,99,Bloodseeker,Bristleback
2359,"[4, 61]",3,4,61,Bloodseeker,Broodmother
441,"[4, 96]",1,4,96,Bloodseeker,Centaur Warrunner
3009,"[4, 66]",4,4,66,Bloodseeker,Chen
3382,"[4, 56]",6,4,56,Bloodseeker,Clinkz
2363,"[4, 51]",3,4,51,Bloodseeker,Clockwerk
3830,"[4, 5]",9,4,5,Bloodseeker,Crystal Maiden
3682,"[4, 119]",8,4,119,Bloodseeker,Dark Willow
447,"[4, 50]",1,4,50,Bloodseeker,Dazzle
1362,"[4, 43]",2,4,43,Bloodseeker,Death Prophet
3309,"[4, 87]",5,4,87,Bloodseeker,Disruptor
3310,"[4, 69]",5,4,69,Bloodseeker,Doom
3023,"[4, 49]",4,4,49,Bloodseeker,Dragon Knight
1438,"[4, 107]",2,4,107,Bloodseeker,Earth Spirit
1344,"[4, 7]",2,4,7,Bloodseeker,Earthshaker
3013,"[4, 103]",4,4,103,Bloodseeker,Elder Titan
3245,"[4, 106]",5,4,106,Bloodseeker,Ember Spirit
1302,"[4, 58]",2,4,58,Bloodseeker,Enchantress
1454,"[4, 41]",2,4,41,Bloodseeker,Faceless Void
2361,"[4, 72]",3,4,72,Bloodseeker,Gyrocopter
1307,"[4, 59]",2,4,59,Bloodseeker,Huskar
3424,"[4, 74]",6,4,74,Bloodseeker,Invoker
3302,"[4, 91]",5,4,91,Bloodseeker,Io
3026,"[4, 64]",4,4,64,Bloodseeker,Jakiro
458,"[4, 90]",1,4,90,Bloodseeker,Keeper of the Light
3016,"[4, 23]",4,4,23,Bloodseeker,Kunkka
3987,"[4, 52]",11,4,52,Bloodseeker,Leshrac
1452,"[4, 31]",2,4,31,Bloodseeker,Lich
3315,"[4, 54]",5,4,54,Bloodseeker,Lifestealer
3017,"[4, 25]",4,4,25,Bloodseeker,Lina
417,"[4, 26]",1,4,26,Bloodseeker,Lion
1297,"[4, 48]",2,4,48,Bloodseeker,Luna
2364,"[4, 77]",3,4,77,Bloodseeker,Lycan
2367,"[4, 97]",3,4,97,Bloodseeker,Magnus
3608,"[4, 9]",7,4,9,Bloodseeker,Mirana
389,"[4, 114]",1,4,114,Bloodseeker,Monkey King
1439,"[4, 10]",2,4,10,Bloodseeker,Morphling
3307,"[4, 89]",5,4,89,Bloodseeker,Naga Siren
3024,"[4, 53]",4,4,53,Bloodseeker,Nature's Prophet
2388,"[4, 36]",3,4,36,Bloodseeker,Necrophos
2358,"[4, 60]",3,4,60,Bloodseeker,Night Stalker
2365,"[4, 88]",3,4,88,Bloodseeker,Nyx Assassin
457,"[4, 84]",1,4,84,Bloodseeker,Ogre Magi
449,"[4, 57]",1,4,57,Bloodseeker,Omniknight
383,"[4, 111]",1,4,111,Bloodseeker,Oracle
3250,"[4, 120]",5,4,120,Bloodseeker,Pangolier
2383,"[4, 12]",3,4,12,Bloodseeker,Phantom Lancer
1455,"[4, 110]",2,4,110,Bloodseeker,Phoenix
1445,"[4, 13]",2,4,13,Bloodseeker,Puck
393,"[4, 14]",1,4,14,Bloodseeker,Pudge
1488,"[4, 45]",2,4,45,Bloodseeker,Pugna
3019,"[4, 39]",4,4,39,Bloodseeker,Queen of Pain
416,"[4, 15]",1,4,15,Bloodseeker,Razor
3008,"[4, 86]",4,4,86,Bloodseeker,Rubick
3615,"[4, 16]",7,4,16,Bloodseeker,Sand King
456,"[4, 79]",1,4,79,Bloodseeker,Shadow Demon
2381,"[4, 11]",3,4,11,Bloodseeker,Shadow Fiend
443,"[4, 27]",1,4,27,Bloodseeker,Shadow Shaman
3596,"[4, 75]",7,4,75,Bloodseeker,Silencer
4071,"[4, 101]",13,4,101,Bloodseeker,Skywrath Mage
1450,"[4, 28]",2,4,28,Bloodseeker,Slardar
462,"[4, 67]",1,4,67,Bloodseeker,Spectre
3015,"[4, 17]",4,4,17,Bloodseeker,Storm Spirit
3409,"[4, 46]",6,4,46,Bloodseeker,Templar Assassin
3665,"[4, 19]",7,4,19,Bloodseeker,Tiny
459,"[4, 95]",1,4,95,Bloodseeker,Troll Warlord
3012,"[4, 100]",4,4,100,Bloodseeker,Tusk
2379,"[4, 108]",3,4,108,Bloodseeker,Underlord
3314,"[4, 85]",5,4,85,Bloodseeker,Undying
2360,"[4, 70]",3,4,70,Bloodseeker,Ursa
3660,"[4, 20]",7,4,20,Bloodseeker,Vengeful Spirit
3293,"[4, 40]",5,4,40,Bloodseeker,Venomancer
3816,"[4, 37]",9,4,37,Bloodseeker,Warlock
3025,"[4, 63]",4,4,63,Bloodseeker,Weaver
3880,"[4, 21]",9,4,21,Bloodseeker,Windranger
3713,"[4, 112]",8,4,112,Bloodseeker,Winter Wyvern
3892,"[4, 30]",10,4,30,Bloodseeker,Witch Doctor
3021,"[4, 42]",4,4,42,Bloodseeker,Wraith King
3237,"[4, 22]",5,4,22,Bloodseeker,Zeus
1428,"[62, 102]",2,62,102,Bounty Hunter,Abaddon
2751,"[62, 65]",4,62,65,Bounty Hunter,Batrider
2334,"[62, 78]",3,62,78,Bounty Hunter,Brewmaster
259,"[62, 81]",1,62,81,Bounty Hunter,Chaos Knight
2288,"[62, 87]",3,62,87,Bounty Hunter,Disruptor
3294,"[62, 69]",5,62,69,Bounty Hunter,Doom
1440,"[62, 103]",2,62,103,Bounty Hunter,Elder Titan
2340,"[62, 106]",3,62,106,Bounty Hunter,Ember Spirit
3645,"[62, 72]",7,62,72,Bounty Hunter,Gyrocopter
232,"[62, 64]",1,62,64,Bounty Hunter,Jakiro
260,"[62, 90]",1,62,90,Bounty Hunter,Keeper of the Light
200,"[62, 104]",1,62,104,Bounty Hunter,Legion Commander
258,"[62, 80]",1,62,80,Bounty Hunter,Lone Druid
2335,"[62, 77]",3,62,77,Bounty Hunter,Lycan
262,"[62, 97]",1,62,97,Bounty Hunter,Magnus
1483,"[62, 114]",2,62,114,Bounty Hunter,Monkey King
2336,"[62, 76]",3,62,76,Bounty Hunter,Outworld Devourer
207,"[62, 120]",1,62,120,Bounty Hunter,Pangolier
2756,"[62, 86]",4,62,86,Bounty Hunter,Rubick
257,"[62, 79]",1,62,79,Bounty Hunter,Shadow Demon
1474,"[62, 75]",2,62,75,Bounty Hunter,Silencer
1430,"[62, 101]",2,62,101,Bounty Hunter,Skywrath Mage
256,"[62, 67]",1,62,67,Bounty Hunter,Spectre
205,"[62, 109]",1,62,109,Bounty Hunter,Terrorblade
263,"[62, 98]",1,62,98,Bounty Hunter,Timbersaw
1467,"[62, 95]",2,62,95,Bounty Hunter,Troll Warlord
199,"[62, 100]",1,62,100,Bounty Hunter,Tusk
202,"[62, 108]",1,62,108,Bounty Hunter,Underlord
2286,"[62, 92]",3,62,92,Bounty Hunter,Visage
872,"[78, 113]",1,78,113,Brewmaster,Arc Warden
2626,"[78, 119]",3,78,119,Brewmaster,Dark Willow
3975,"[78, 87]",11,78,87,Brewmaster,Disruptor
